#Organism Name,Organism Groups,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,Host,CDS,Neighbors,Release Date,GenBank FTP,RefSeq FTP,Replicons
"enterovirus D94","Viruses;Other;Picornaviridae","","","GCA_008797835.1","Complete",0.007364,43.6,"DQ916376.1","human",1,,"2007-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/797/835/GCA_008797835.1_ASM879783v1",,"DQ916376.1"
"Venezuelan equine encephalitis virus","Viruses;Other;Togaviridae","","","GCA_002888875.1","Complete",0.011423,50.1,"AF375051.1","human,invertebrates,vertebrates",2,,"2001-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/888/875/GCA_002888875.1_ASM288887v1",,"AF375051.1"
"Bovine viral diarrhea virus 1","Viruses;Other;Flaviviridae","SAMEA27178918","PRJEB18637","GCA_900173515.1","Complete",0.012295,45.5,"LT837585.1","human,vertebrates",1,,"2017-03-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/173/515/GCA_900173515.1_VE_245_12",,"LT837585.1"
"Sindbis virus","Viruses;Other;Togaviridae","","","GCA_002888895.1","Complete",0.011569,51,"AF429428.1","human,invertebrates,vertebrates",3,,"2002-04-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/888/895/GCA_002888895.1_ASM288889v1",,"AF429428.1"
"Turkish sheep encephalitis virus","Viruses;Other;Flaviviridae","","","GCA_004786675.1","Complete",0.010245,55.1,"DQ235151.1","human,invertebrates,vertebrates",1,,"2006-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/786/675/GCA_004786675.1_ASM478667v1",,"DQ235151.1"
"Louping ill virus","Viruses;Other;Flaviviridae","","","GCA_004789215.1"," Chromosome",0.001488,53.3,"X86784.1","human,invertebrates,vertebrates",1,,"1997-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/789/215/GCA_004789215.1_ASM478921v1",,"X86784.1"
"rhinovirus A20","Viruses;Other;Picornaviridae","","PRJNA32533","GCA_008797055.1","Complete",0.007163,38.5,"FJ445120.1","human,vertebrates",1,,"2009-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/797/055/GCA_008797055.1_ASM879705v1",,"FJ445120.1"
"enterovirus G2","Viruses;Other;Picornaviridae","","","GCA_008800175.1","Complete",0.007401,45.6,"AF363455.1","human,vertebrates",1,,"2002-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/800/175/GCA_008800175.1_ASM880017v1",,"AF363455.1"
"Hepatitis B virus","Viruses;Other;Hepadnaviridae","","","GCA_003047955.1","Complete",0.003215,49.1,"X75658.1","human,vertebrates",4,,"1994-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/047/955/GCA_003047955.1_ASM304795v1",,"X75658.1"
"Kobuvirus SZAL6-KoV/2011/HUN","Viruses;Other;Picornaviridae","","","GCA_008776395.1","Complete",0.008251,53.1,"KJ934637.1","human,vertebrates",1,,"2014-08-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/776/395/GCA_008776395.1_ASM877639v1",,"KJ934637.1"
"Nipah henipavirus","Viruses;Other;Paramyxoviridae","","","GCA_003147845.1","Complete",0.018252,38.5,"FJ513078.1","human,vertebrates",6,,"2009-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/147/845/GCA_003147845.1_ASM314784v1",,"FJ513078.1"
"human papillomavirus 89","Viruses;Other;Papillomaviridae","","","GCA_003177595.1","Complete",0.008078,46.1,"AF436128.1","human",7,,"2002-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/177/595/GCA_003177595.1_ASM317759v1",,"AF436128.1"
"GB virus C","Viruses;Other;Flaviviridae","","","GCA_002821145.1","Complete",0.009367,59.3,"U63715.1","human,vertebrates",1,,"1996-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/821/145/GCA_002821145.1_ASM282114v1",,"U63715.1"
"JC polyomavirus","Viruses;Other;Polyomaviridae","SAMEA4436736","PRJEB15261","GCA_900096515.1","Complete",0.005233,40.7,"chromosome II:LT615221.1","human",0,,"2016-10-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/515/GCA_900096515.1_JCPyV_Case1b",,"chromosome II:LT615221.1"
"Human metapneumovirus","Viruses;Other;Pneumoviridae","","","GCA_002815415.1","Complete",0.013293,36.6,"AY525843.1","human,vertebrates",9,,"2004-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/815/415/GCA_002815415.1_ASM281541v1",,"AY525843.1"
"human papillomavirus 45","Viruses;Other;Papillomaviridae","","","GCA_003180735.1","Complete",0.007858,39.6,"X74479.1","human,vertebrates",6,,"1993-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/735/GCA_003180735.1_ASM318073v1",,"X74479.1"
"human papillomavirus 27","Viruses;Other;Papillomaviridae","","","GCA_003180675.1","Complete",0.007823,48.6,"X74473.1","human",7,,"1993-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/675/GCA_003180675.1_ASM318067v1",,"X74473.1"
"Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG","Viruses;Other;Caliciviridae","","","GCA_007609015.1","Complete",0.007637,56.4,"NC_044047.1/FJ692500.1","human,vertebrates",3,1630,"2012-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/609/015/GCA_007609015.1_ASM760901v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/609/015/GCF_007609015.1_ASM760901v1","NC_044047.1/FJ692500.1"
"Porcine rotavirus","Viruses;Other;Reoviridae","","","GCA_003087355.1","Complete",0.018298,33.7475," 5:KU886308.1;  8:KU886309.1;  7:KU886310.1;  10:KU886311.1;  11:KU886312.1;  1:KU886313.1;  2:KU886314.1;  3:KU886315.1;  4:KU886316.1;  6:KU886317.1;  9:KU886318.1","human,vertebrates",11,,"2016-10-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/087/355/GCA_003087355.1_ASM308735v1",," 5:KU886308.1;  8:KU886309.1;  7:KU886310.1;  10:KU886311.1;  11:KU886312.1;  1:KU886313.1;  2:KU886314.1;  3:KU886315.1;  4:KU886316.1;  6:KU886317.1;  9:KU886318.1"
"Naranjal virus","Viruses;Other;Flaviviridae","","","GCA_004786475.1"," Chromosome",0.001038,50.7,"AF013390.1","human,invertebrates,vertebrates",1,,"1997-12-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/786/475/GCA_004786475.1_ASM478647v1",,"AF013390.1"
"Zika virus","Viruses;Other;Flaviviridae","","","GCA_004787195.1","Complete",0.010807,51.3,"KJ776791.2","human,invertebrates,vertebrates",1,,"2014-05-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/787/195/GCA_004787195.1_ASM478719v1",,"KJ776791.2"
"Rotavirus A","Viruses;Other;Reoviridae","","","GCA_002673775.1","Complete",0.018039,32.0417," 5:KX778477.1;  8:KX778489.1;  7:KX778501.1;  10:KX778513.1;  11:KX778525.1;  1:KX778537.1;  2:KX778549.1;  3:KX778561.1;  4:KX778573.1;  6:KX778585.1;  9:KX778597.1","human,vertebrates",11,,"2017-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/673/775/GCA_002673775.1_ASM267377v1",," 5:KX778477.1;  8:KX778489.1;  7:KX778501.1;  10:KX778513.1;  11:KX778525.1;  1:KX778537.1;  2:KX778549.1;  3:KX778561.1;  4:KX778573.1;  6:KX778585.1;  9:KX778597.1"
"Human cosavirus A9","Viruses;Other;Picornaviridae","","","GCA_008786685.1"," Chromosome",0.000915,43.7,"JN867763.1","human,vertebrates",1,,"2012-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/786/685/GCA_008786685.1_ASM878668v1",,"JN867763.1"
"Pygmy chimpanzee papillomavirus type 1","Viruses;Other;Papillomaviridae","","","GCA_003180495.1","Complete",0.007902,38,"X62844.1","human,vertebrates",8,,"1992-10-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/495/GCA_003180495.1_ASM318049v1",,"X62844.1"
"Human gammaherpesvirus 4","Viruses;Other;Herpesviridae","SAMEA4618963","PRJEB26469","GCA_900411575.1"," Chromosome",0.17168,55.7,"chromosome I:LS992258.1","human,vertebrates",0,,"2018-08-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/411/575/GCA_900411575.1_P1-T1",,"chromosome I:LS992258.1"
"Simian adenovirus 44","Viruses;Other;Adenoviridae","","","GCA_006447195.1","Complete",0.037711,60.6,"FJ025899.1","human,vertebrates",0,,"2009-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/447/195/GCA_006447195.1_ASM644719v1",,"FJ025899.1"
"Human adenovirus 42","Viruses;Other;Adenoviridae","","","GCA_006444635.1","Complete",0.035231,56.9,"JN226761.1","human,vertebrates",40,,"2012-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/444/635/GCA_006444635.1_ASM644463v1",,"JN226761.1"
"Tanapox virus","Viruses;Other;Poxviridae","","","GCA_006452175.1","Complete",0.144565,27,"EF420156.1","human",156,,"2007-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/452/175/GCA_006452175.1_ASM645217v1",,"EF420156.1"
"Sapovirus Hu/GI/Sapporo/MT-2010/1982","Viruses;Other;Caliciviridae","","","GCA_008792745.1","Complete",0.007433,50.7,"HM002617.1","human,vertebrates",3,,"2010-05-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/792/745/GCA_008792745.1_ASM879274v1",,"HM002617.1"
"Human T-lymphotropic virus 2","Viruses;Other;Retroviridae","","","GCA_003098735.1","Complete",0.008964,53.9,"AF326583.1","human,vertebrates",5,,"2001-01-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/098/735/GCA_003098735.1_ASM309873v1",,"AF326583.1"
"Simian immunodeficiency virus","Viruses;Other;Retroviridae","","","GCA_003192165.1","Complete",0.010315,43.7,"U72748.2","human,vertebrates",9,,"1996-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/192/165/GCA_003192165.1_ASM319216v1",,"U72748.2"
"Influenza A virus (A/Shanghai/02/2013(H7N9))","Viruses;Other;Orthomyxoviridae","","","GCA_000928555.1","Complete",0.013191,44.3369," 1:NC_026422.1/KF021594.1;  2:NC_026423.1/KF021595.1;  3:NC_026424.1/KF021596.1;  4:NC_026425.1/KF021597.1;  5:NC_026426.1/KF021598.1;  6:NC_026429.1/KF021599.1;  7:NC_026427.1/KF021600.1;  8:NC_026428.1/KF021601.1","human,vertebrates",12,124,"2013-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/928/555/GCA_000928555.1_ViralMultiSegProj274585","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/928/555/GCF_000928555.1_ViralMultiSegProj274585"," 1:NC_026422.1/KF021594.1;  2:NC_026423.1/KF021595.1;  3:NC_026424.1/KF021596.1;  4:NC_026425.1/KF021597.1;  5:NC_026426.1/KF021598.1;  6:NC_026429.1/KF021599.1;  7:NC_026427.1/KF021600.1;  8:NC_026428.1/KF021601.1"
"Rauscher murine leukemia virus","Viruses;Other;Retroviridae","","","GCF_000852665.1","Complete",0.008282,53.2," Unknown:NC_001819.1/","human,vertebrates",3,,"1997-07-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/852/665/GCF_000852665.1_ViralProj14907"," Unknown:NC_001819.1/"
"Human alphaherpesvirus 2","Viruses;Other;Herpesviridae","SAMEA3941941","PRJEB13741","GCA_900167805.1"," Chromosome",0.138836,66.2,"LT797630.1","human,vertebrates",0,,"2017-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/805/GCA_900167805.1_HSV-2v15.1",,"LT797630.1"
"Dengue virus 3","Viruses;Other;Flaviviridae","","","GCA_004788295.1","Complete",0.010696,46.6,"M93130.1","human,invertebrates,vertebrates",1,,"1993-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/788/295/GCA_004788295.1_ASM478829v1",,"M93130.1"
"Theilovirus","Viruses;Other;Picornaviridae","","","GCA_000861185.1","Complete",0.008101,49.1," Unknown:NC_001366.1/X56019.1","human,vertebrates",3,55,"1990-11-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/861/185/GCA_000861185.1_ViralProj15292","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/185/GCF_000861185.1_ViralProj15292"," Unknown:NC_001366.1/X56019.1"
"Duck coronavirus","Viruses;Other;Coronaviridae","","","GCA_012271565.1","Complete",0.027754,39.3,"NC_048214.1/KM454473.1","human,vertebrates",12,442,"2015-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/271/565/GCA_012271565.1_ASM1227156v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/271/565/GCF_012271565.1_ASM1227156v1","NC_048214.1/KM454473.1"
"Echovirus E12","Viruses;Other;Picornaviridae","","","GCA_008766575.1","Complete",0.007501,47,"X79047.1","human,vertebrates",1,,"1994-04-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/766/575/GCA_008766575.1_ASM876657v1",,"X79047.1"
"Human poliovirus 2","Viruses;Other;Picornaviridae","","","GCA_008766735.1","Complete",0.007439,46.4,"X00595.1","human,vertebrates",1,,"1986-01-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/766/735/GCA_008766735.1_ASM876673v1",,"X00595.1"
"West Nile virus","Viruses;Other;Flaviviridae","","","GCA_000875385.1","Complete",0.011029,51.2," Unknown:NC_009942.1/DQ211652.1","human,invertebrates,vertebrates",3,1942,"2005-10-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/875/385/GCA_000875385.1_ViralProj30293","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/875/385/GCF_000875385.1_ViralProj30293"," Unknown:NC_009942.1/DQ211652.1"
"Hepacivirus C","Viruses;Other;Flaviviridae","","","GCA_002820865.1","Complete",0.009589,56.9,"D00944.1","human,vertebrates",1,,"1993-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/820/865/GCA_002820865.1_ASM282086v1",,"D00944.1"
"Human T-cell leukemia virus type I","Viruses;Other;Retroviridae","","","GCA_003104295.1","Complete",0.009039,53.5,"L02534.1","human,vertebrates",0,,"1993-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/104/295/GCA_003104295.1_ASM310429v1",,"L02534.1"
"Coxsackievirus A5","Viruses;Other;Picornaviridae","","","GCA_008799255.1","Complete",0.0074,47.9,"AY421763.1","human,vertebrates",1,,"2004-05-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/799/255/GCA_008799255.1_ASM879925v1",,"AY421763.1"
"human papillomavirus 75","Viruses;Other;Papillomaviridae","","","GCA_003180855.1","Complete",0.007537,41.3,"Y15173.1","human",7,,"1998-02-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/855/GCA_003180855.1_ASM318085v1",,"Y15173.1"
"Human papillomavirus 9","Viruses;Other;Papillomaviridae","","","GCA_000863685.1","Complete",0.007434,41," Unknown:NC_001596.1/X74464.1","human,vertebrates",7,33,"1993-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/863/685/GCA_000863685.1_ViralProj15456","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/685/GCF_000863685.1_ViralProj15456"," Unknown:NC_001596.1/X74464.1"
"Porcine circovirus 2","Viruses;Other;Circoviridae","","","GCA_004091495.1","Complete",0.001778,48.8,"EF565360.1","human,vertebrates",2,,"2007-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/091/495/GCA_004091495.1_ASM409149v1",,"EF565360.1"
"Severe acute respiratory syndrome-related coronavirus","Viruses;Other;Coronaviridae","","","GCA_013088595.1","Complete",0.029274,39.2,"KY352407.1","human,vertebrates",10,,"2018-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/088/595/GCA_013088595.1_ASM1308859v1",,"KY352407.1"
"human papillomavirus 108","Viruses;Other;Papillomaviridae","","","GCA_000883655.1","Complete",0.007149,42.6,"NC_012213.1/FM212639.1","human",5,10,"2009-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/883/655/GCA_000883655.1_ViralProj34847","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/655/GCF_000883655.1_ViralProj34847","NC_012213.1/FM212639.1"
"Human papillomavirus 5","Viruses;Other;Papillomaviridae","","","GCA_000866505.1","Complete",0.007746,42.4," Unknown:NC_001531.1/M17463.1","human,vertebrates",8,28,"1993-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/866/505/GCA_000866505.1_ViralProj15511","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/505/GCF_000866505.1_ViralProj15511"," Unknown:NC_001531.1/M17463.1"
"Rhinovirus C","Viruses;Other;Picornaviridae","","","GCA_008791725.1","Complete",0.007115,42.3,"JN205461.1","human,vertebrates",1,,"2012-07-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/791/725/GCA_008791725.1_ASM879172v1",,"JN205461.1"
"Human immunodeficiency virus 1","Viruses;Other;Retroviridae","","","GCA_003190885.1","Complete",0.009869,43.3,"GU111555.1","human,vertebrates",9,,"2009-11-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/190/885/GCA_003190885.1_ASM319088v1",,"GU111555.1"
"uncultured virus","Viruses;Other;Other","","","GCA_003532585.1","Complete",0.001664,36.2,"KY487839.1","bacteria,human,invertebrates,land plants,protozoa",1,,"2018-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/532/585/GCA_003532585.1_ASM353258v1",,"KY487839.1"
"Human papillomavirus type 112","Viruses;Other;Papillomaviridae","","","GCA_000882135.1","Complete",0.007227,37.5,"NC_012486.1/EU541442.1","human",7,10,"2009-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/882/135/GCA_000882135.1_ViralProj36517","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/135/GCF_000882135.1_ViralProj36517","NC_012486.1/EU541442.1"
"Paguma larvata torque teno virus","Viruses;Other;Anelloviridae","","","GCA_018582685.1","Complete",0.002508,43.7,"LC387540.1","human,vertebrates",3,,"2018-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/582/685/GCA_018582685.1_ASM1858268v1",,"LC387540.1"
"Severe fever with thrombocytopenia syndrome virus","Viruses;Other;Phenuiviridae","","","GCA_003087735.1","Complete",0.01149,48.7879," S:KY440772.1;  M:KY440773.1;  L:KY440774.1","human,invertebrates,vertebrates",4,,"2017-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/087/735/GCA_003087735.1_ASM308773v1",," S:KY440772.1;  M:KY440773.1;  L:KY440774.1"
"TTV-like mini virus","Viruses;Other;Anelloviridae","","","GCA_018580125.1","Complete",0.002915,39.9,"JX134046.1","human,vertebrates",3,,"2013-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/580/125/GCA_018580125.1_ASM1858012v1",,"JX134046.1"
"Rotavirus B","Viruses;Other;Reoviridae","","","GCA_003159135.1","Complete",0.017934,36.8438," 1:KU562884.1;  2:KU562885.1;  3:KU562886.1;  4:KU562887.1;  6:KU562888.1;  9:KU562889.1;  5:KU562890.1;  8:KU562891.1;  7:KU562892.1;  10:KU562893.1;  11:KU562894.1","human,vertebrates",12,,"2017-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/135/GCA_003159135.1_ASM315913v1",," 1:KU562884.1;  2:KU562885.1;  3:KU562886.1;  4:KU562887.1;  6:KU562888.1;  9:KU562889.1;  5:KU562890.1;  8:KU562891.1;  7:KU562892.1;  10:KU562893.1;  11:KU562894.1"
"Hepatitis delta virus","Viruses;Deltavirus;unclassified","","","GCA_018547915.1","Complete",0.001681,60.8,"AM183330.1","human,vertebrates",1,,"2007-01-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/547/915/GCA_018547915.1_ASM1854791v1",,"AM183330.1"
"Bacteriophage sp.","Viruses;unclassified phages;unclassified","SAMN13135928","PRJNA579886","GCA_012599995.1","Complete",0.048212,52.3,"MN856003.1","bacteria,human,invertebrates,vertebrates",72,,"2020-04-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/599/995/GCA_012599995.1_ASM1259999v1",,"MN856003.1"
"Mamastrovirus 3","Viruses;Other;Astroviridae","SAMEA81286918","PRJEB19039","GCA_900197215.1","Complete",0.006356,50.7,"LT898434.1","human,vertebrates",3,,"2017-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/197/215/GCA_900197215.1_PAstV_GER_L00855-K14_14-04_2014",,"LT898434.1"
"Human smacovirus 1","Viruses;Other;Smacoviridae","","","GCA_003964055.1","Complete",0.002468,44,"KP233177.1","human",2,,"2015-01-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/964/055/GCA_003964055.1_ASM396405v1",,"KP233177.1"
"cosavirus A3","Viruses;Other;Picornaviridae","","","GCA_008797195.1"," Chromosome",0.006431,44.2,"FJ438904.1","human,vertebrates",1,,"2009-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/797/195/GCA_008797195.1_ASM879719v1",,"FJ438904.1"
"human papillomavirus 166","Viruses;Other;Papillomaviridae","","","GCA_000899515.1","Complete",0.007212,38.3,"NC_019023.1/JX413104.1","human",6,3,"2012-10-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/899/515/GCA_000899515.1_ViralProj178458","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/899/515/GCF_000899515.1_ViralProj178458","NC_019023.1/JX413104.1"
"Madariaga virus","Viruses;Other;Togaviridae","","","GCA_002888955.1","Complete",0.011604,49.3,"DQ241303.1","human,invertebrates,vertebrates",2,,"2005-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/888/955/GCA_002888955.1_ASM288895v1",,"DQ241303.1"
"Circoviridae sp.","Viruses;Other;Circoviridae","","PRJNA393166","GCA_004099425.1","Complete",0.004423,53.2,"MK012478.1","human,vertebrates",8,,"2018-11-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/099/425/GCA_004099425.1_ASM409942v1",,"MK012478.1"
"Borna disease virus 1","Viruses;Other;Bornaviridae","","PRJNA299769","GCF_001429895.1","Complete",0.008908,49.9," Unknown:NC_028100.1/","human,vertebrates",6,,"2015-10-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/429/895/GCF_001429895.1_ViralProj299769"," Unknown:NC_028100.1/"
"unidentified adenovirus","Viruses;Other;Adenoviridae","","","GCA_006436495.1"," Chromosome",0.02463,35.6,"KP279746.1","human,vertebrates",22,,"2016-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/436/495/GCA_006436495.1_ASM643649v1",,"KP279746.1"
"human papillomavirus 33","Viruses;Other;Papillomaviridae","","","GCA_003179955.1","Complete",0.007909,36.6,"M12732.1","human",8,,"1993-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/179/955/GCA_003179955.1_ASM317995v1",,"M12732.1"
"Human polyomavirus 1","Viruses;Other;Polyomaviridae","SAMEA104286536","PRJEB22539","GCA_900232185.1","Complete",0.005141,39.4,"chromosome I:LT934539.1","human,vertebrates",6,,"2017-10-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/232/185/GCA_900232185.1_CAMB-1035.1",,"chromosome I:LT934539.1"
"Variegated squirrel bornavirus 1","Viruses;Other;Bornaviridae","SAMEA3991704","PRJEB14065","GCA_002153825.1","Complete",0.008786,42.9," Unknown:LT594381.1","human,vertebrates",6,,"2016-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/153/825/GCA_002153825.1_ViralProj353928","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/153/825/GCF_002153825.1_ViralProj353928"," Unknown:LT594381.1"
"SFTS virus HN13","Viruses;Other;Phenuiviridae","","","GCA_003087815.1","Complete",0.01149,48.8798," L:HQ141598.1;  M:HQ141599.1;  S:HQ141600.1","human,invertebrates,vertebrates",4,,"2011-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/087/815/GCA_003087815.1_ASM308781v1",," L:HQ141598.1;  M:HQ141599.1;  S:HQ141600.1"
"Gammapapillomavirus 18","Viruses;Other;Papillomaviridae","","PRJNA396064","GCA_004288395.1","Complete",0.007292,36,"MF588730.1","human",7,,"2017-11-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/288/395/GCA_004288395.1_ASM428839v1",,"MF588730.1"
"Tucunduba virus","Viruses;Other;Peribunyaviridae","","","GCA_009731635.1","Complete",0.012132,31.9646," L:KX579499.1;  M:KX579500.1;  S:KX579501.1","human,invertebrates",3,,"2017-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/731/635/GCA_009731635.1_ASM973163v1",," L:KX579499.1;  M:KX579500.1;  S:KX579501.1"
"Marituba virus","Viruses;Other;Peribunyaviridae","","","GCA_002118745.1","Complete",0.012599,34.8702," L:NC_034495.1/KF254770.1;  M:NC_034504.1/KF254771.1;  S:NC_034496.1/KF254772.1","human,invertebrates,vertebrates",4,28,"2014-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/118/745/GCA_002118745.1_ViralMultiSegProj385627","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/118/745/GCF_002118745.1_ViralMultiSegProj385627"," L:NC_034495.1/KF254770.1;  M:NC_034504.1/KF254771.1;  S:NC_034496.1/KF254772.1"
